,max_death_rate,max_infection_rate,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices
Afghanistan,7.0,232.0,0.35,0.517,0.361,0.0
Albania,4.0,34.0,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995
Algeria,30.0,199.0,1.002,1.16,0.785,0.086
Argentina,13.0,291.0,1.092,1.432,0.8809999999999999,0.47100000000000003
Armenia,3.0,134.0,0.85,1.055,0.815,0.28300000000000003
Australia,8.0,1385.8318,1.3719999999999999,1.548,1.036,0.557
Austria,30.0,1321.0,1.376,1.475,1.016,0.532
Azerbaijan,3.0,105.0,1.043,1.147,0.769,0.35100000000000003
Bahrain,1.0,301.0,1.3619999999999999,1.368,0.871,0.536
Bangladesh,15.0,641.0,0.562,0.9279999999999999,0.723,0.527
Belarus,5.0,1485.0,1.067,1.465,0.789,0.235
Belgium,496.0,2454.0,1.3559999999999999,1.504,0.986,0.473
Benin,1.0,19.0,0.39299999999999996,0.43700000000000006,0.397,0.349
Bhutan,0.0,62.919399999999996,0.813,1.321,0.604,0.457
Bolivia,6.0,104.0,0.7759999999999999,1.209,0.706,0.511
Bosnia and Herzegovina,6.0,92.0,0.945,1.212,0.845,0.212
Botswana,1.0,47.0134,1.041,1.145,0.5379999999999999,0.455
Brazil,493.0,7502.0,1.004,1.439,0.802,0.39
Bulgaria,6.0,137.0,1.092,1.5130000000000001,0.815,0.311
Burkina Faso,4.0,41.0,0.331,1.056,0.38,0.255
Burundi,1.0,33.292,0.046,0.447,0.38,0.22
Cambodia,0.0,93.36670000000001,0.574,1.122,0.637,0.609
Cameroon,20.0,203.0,0.5489999999999999,0.91,0.331,0.381
Canada,251.0,2778.0,1.365,1.505,1.0390000000000001,0.584
Central African Republic,0.0,31.0,0.026000000000000002,0.0,0.105,0.225
Chad,3.0,21.0,0.35,0.7659999999999999,0.192,0.174
Chile,13.0,1138.0,1.159,1.369,0.92,0.35700000000000004
China,1290.0,15136.0,1.0290000000000001,1.125,0.893,0.521
Colombia,26.0,353.0,0.985,1.41,0.841,0.47
Comoros,0.0,54.9788,0.27399999999999997,0.757,0.505,0.142
Congo (Brazzaville),3.0,57.0,0.6729999999999999,0.799,0.508,0.37200000000000005
Congo (Kinshasa),5.0,81.0,0.094,1.125,0.35700000000000004,0.26899999999999996
Costa Rica,1.0,83.7534,1.034,1.4409999999999998,0.963,0.5579999999999999
Croatia,8.0,96.0,1.155,1.266,0.914,0.29600000000000004
Cyprus,2.0,58.0,1.263,1.2229999999999999,1.042,0.406
Denmark,22.0,391.0,1.383,1.5730000000000002,0.996,0.5920000000000001
Dominican Republic,38.0,371.0,1.015,1.401,0.779,0.49700000000000005
Ecuador,208.0,11536.0,0.912,1.3119999999999998,0.868,0.498
Egypt,22.0,269.0,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002
El Salvador,1.0,88.8965,0.794,1.242,0.789,0.43
Estonia,6.0,134.0,1.237,1.528,0.8740000000000001,0.495
Ethiopia,2.0,31.3447,0.336,1.033,0.532,0.344
Finland,43.0,267.0,1.34,1.587,0.986,0.596
France,1440.0,26849.0,1.324,1.472,1.045,0.436
Gabon,1.0,38.0,1.057,1.183,0.5710000000000001,0.295
Gambia,1.0,15.3101,0.308,0.9390000000000001,0.428,0.382
Georgia,1.0,42.0,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003
Germany,510.0,6933.0,1.3730000000000002,1.454,0.987,0.495
Ghana,5.0,403.0,0.611,0.868,0.486,0.381
Greece,10.0,156.0,1.181,1.156,0.9990000000000001,0.067
Guatemala,3.0,90.2308,0.8,1.2690000000000001,0.746,0.535
Guinea,2.0,167.0,0.38,0.8290000000000001,0.375,0.332
Haiti,2.0,72.2852,0.32299999999999995,0.688,0.449,0.026000000000000002
Honduras,8.0,86.2419,0.642,1.236,0.828,0.507
Hungary,23.0,210.0,1.2009999999999998,1.41,0.828,0.19899999999999998
Iceland,5.0,99.0,1.38,1.624,1.026,0.591
